View,Label,Tag,Value
questions-month,2025-02,javascript,603
questions-month,2025-02,python,1061
questions-month,2025-02,reactjs,365
questions-month,2025-03,c#,439
questions-month,2025-03,java,482
questions-month,2025-03,javascript,604
questions-month,2025-03,python,1161
questions-month,2025-03,reactjs,391
hourly-trend,0,c#,357
hourly-trend,0,java,397
hourly-trend,0,javascript,790
hourly-trend,0,python,1299
hourly-trend,0,reactjs,462
hourly-trend,1,c#,382
hourly-trend,1,java,370
hourly-trend,1,javascript,837
hourly-trend,1,python,1322
hourly-trend,1,reactjs,449
hourly-trend,2,c#,338
hourly-trend,2,java,377
hourly-trend,2,javascript,799
hourly-trend,2,python,1257
hourly-trend,2,reactjs,435
hourly-trend,3,c#,338
hourly-trend,3,java,442
hourly-trend,3,javascript,858
hourly-trend,3,python,1394
hourly-trend,3,reactjs,456
hourly-trend,4,c#,369
hourly-trend,4,java,485
hourly-trend,4,javascript,934
hourly-trend,4,python,1407
hourly-trend,4,reactjs,568
hourly-trend,5,c#,481
hourly-trend,5,java,584
hourly-trend,5,javascript,1193
hourly-trend,5,python,1516
hourly-trend,5,reactjs,675
hourly-trend,6,c#,621
hourly-trend,6,java,752
hourly-trend,6,javascript,1433
hourly-trend,6,python,1887
hourly-trend,6,reactjs,859
hourly-trend,7,c#,866
hourly-trend,7,java,895
hourly-trend,7,javascript,1582
hourly-trend,7,python,2059
hourly-trend,7,reactjs,970
hourly-trend,8,c#,1022
hourly-trend,8,java,1103
hourly-trend,8,javascript,1803
hourly-trend,8,python,2732
hourly-trend,8,reactjs,1061
hourly-trend,9,c#,1142
hourly-trend,9,java,1137
hourly-trend,9,javascript,2037
hourly-trend,9,python,2987
hourly-trend,9,reactjs,1149
hourly-trend,10,c#,1116
hourly-trend,10,java,1145
hourly-trend,10,javascript,1924
hourly-trend,10,python,2866
hourly-trend,10,reactjs,1140
hourly-trend,11,c#,1060
hourly-trend,11,java,1112
hourly-trend,11,javascript,1908
hourly-trend,11,python,2849
hourly-trend,11,reactjs,1118
hourly-trend,12,c#,1191
hourly-trend,12,java,1185
hourly-trend,12,javascript,1967
hourly-trend,12,python,3150
hourly-trend,12,reactjs,1154
hourly-trend,13,c#,1243
hourly-trend,13,java,1275
hourly-trend,13,javascript,2266
hourly-trend,13,python,3510
hourly-trend,13,reactjs,1241
hourly-trend,14,c#,1339
hourly-trend,14,java,1353
hourly-trend,14,javascript,2323
hourly-trend,14,python,3723
hourly-trend,14,reactjs,1207
hourly-trend,15,c#,1314
hourly-trend,15,java,1265
hourly-trend,15,javascript,2304
hourly-trend,15,python,3848
hourly-trend,15,reactjs,1290
hourly-trend,16,c#,1157
hourly-trend,16,java,1147
hourly-trend,16,javascript,2110
hourly-trend,16,python,3646
hourly-trend,16,reactjs,1129
hourly-trend,17,c#,1066
hourly-trend,17,java,1107
hourly-trend,17,javascript,2075
hourly-trend,17,python,3468
hourly-trend,17,reactjs,1084
hourly-trend,18,c#,1011
hourly-trend,18,java,997
hourly-trend,18,javascript,1934
hourly-trend,18,python,3317
hourly-trend,18,reactjs,1073
hourly-trend,19,c#,941
hourly-trend,19,java,905
hourly-trend,19,javascript,1943
hourly-trend,19,python,3097
hourly-trend,19,reactjs,1042
hourly-trend,20,c#,929
hourly-trend,20,java,852
hourly-trend,20,javascript,1773
hourly-trend,20,python,3008
hourly-trend,20,reactjs,971
hourly-trend,21,c#,781
hourly-trend,21,java,777
hourly-trend,21,javascript,1607
hourly-trend,21,python,2775
hourly-trend,21,reactjs,822
hourly-trend,22,c#,646
hourly-trend,22,java,633
hourly-trend,22,javascript,1332
hourly-trend,22,python,2367
hourly-trend,22,reactjs,715
hourly-trend,23,c#,594
hourly-trend,23,java,556
hourly-trend,23,javascript,1168
hourly-trend,23,python,2005
hourly-trend,23,reactjs,606
questions-year,2021,ALL,120755
questions-year,2022,ALL,365042
questions-year,2023,ALL,371281
questions-year,2024,ALL,374395
questions-year,2025,ALL,92727
